"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
645801,"Ford, Mike","Pit",136,26,26,9,7.899,17,7.899,1,0,0
670097,"Short, Zack","Pit",116,47,47,23,8.072,24,8.072,0.9787234042553191,0.02127659574468085,0
605612,"Castro, Harold","Pit",115,13,13,2,8.177,11,8.177,1,0,0
623507,"Lester, Josh","Pit",110,8,8,1,8.18,7,8.18,1,0,0
641645,"Guillorme, Luis","Pit",121,8,8,3,8.194,5,8.194,1,0,0
595978,"Hedges, Austin","Pit",140,26,26,17,8.361,9,8.361,0.9230769230769231,0.07692307692307693,0
607461,"Beaty, Matt","Pit",118,12,12,8,8.393,4,8.393,1,0,0
681807,"Fry, David","Pit",114,29,29,19,8.672,10,8.672,0.9655172413793104,0.034482758620689655,0
571875,"Lamb, Jake","Pit",108,4,4,2,8.969,2,8.969,1,0,0
613564,"Vosler, Jason","Pit",113,7,7,2,8.978,5,8.978,1,0,0
689172,"Wisely, Brett","Pit",137,5,5,5,9.169,,9.169,1,0,0
500871,"Escobar, Eduardo","Pit",108,21,21,9,9.183,12,9.183,1,0,0
676701,"Trejo, Alan","Pit",115,10,10,7,9.184,3,9.184,1,0,0
571466,"Barnhart, Tucker","Pit",112,21,21,7,9.199,14,9.199,1,0,0
543281,"Harrison, Josh","Pit",143,21,21,1,9.216,20,9.216,1,0,0
641525,"Dixon, Brandon","Pit",135,4,4,4,9.23,,9.23,1,0,0
681584,"Villar, David","Pit",137,5,5,4,9.26,1,9.26,1,0,0
506702,"León, Sandy","Pit",140,6,6,2,9.292,4,9.292,1,0,0
608348,"Kelly, Carson","Pit",116,21,21,8,9.33,13,9.33,1,0,0
670032,"Lopez, Nicky","Pit",144,24,24,15,9.524,9,9.524,0.9583333333333334,0.041666666666666664,0
542194,"Bethancourt, Christian","Pit",139,5,5,1,9.543,4,9.543,1,0,0
670042,"Raley, Luke","Pit",139,19,19,7,9.575,12,9.575,1,0,0
543543,"Miller, Brad","Pit",140,23,23,11,9.622,12,9.622,0.9565217391304348,0.043478260869565216,0
542208,"Pérez, Carlos","Pit",133,20,20,7,9.682,13,9.682,1,0,0
570731,"Schoop, Jonathan","Pit",116,7,7,4,9.763,3,9.763,1,0,0
607054,"Peterson, Jace","Pit",109,24,24,10,9.783,14,9.783,1,0,0
663897,"Williams, Luke","Pit",144,2,2,2,9.921,,9.921,1,0,0
643396,"Kiner-Falefa, Isiah","Pit",147,23,23,11,9.936,12,9.936,1,0,0
676391,"Clement, Ernie","Pit",141,8,8,6,9.978,2,9.978,1,0,0
593643,"Alberto, Hanser","Pit",145,12,12,7,9.98,5,9.98,1,0,0
545121,"Vargas, Ildemaro","Pit",120,14,14,7,10.099,7,10.099,1,0,0
676632,"Madris, Bligh","Pit",117,5,5,4,10.105,1,10.105,1,0,0
500743,"Rojas, Miguel","Pit",119,19,19,11,10.208,8,10.208,0.9473684210526315,0.05263157894736842,0
664901,"Mendick, Danny","Pit",121,9,9,3,10.242,6,10.242,1,0,0
660634,"Hernández, Yonny","Pit",119,3,3,3,10.428,,10.428,1,0,0
664874,"Zavala, Seby","Pit",109,4,4,4,10.463,,10.463,1,0,0
676475,"Burleson, Alec","Pit",138,15,15,2,10.611,13,10.611,0.9333333333333333,0.06666666666666667,0
656716,"McKinstry, Zach","Pit",116,12,12,7,10.612,5,10.612,1,0,0
656669,"Luplow, Jordan","Pit",142,6,6,3,10.685,3,10.685,1,0,0
650907,"Pinto, René","Pit",139,15,15,6,10.782,9,10.782,1,0,0
670712,"Brosseau, Mike","Pit",158,13,13,7,10.817,6,10.817,0.8461538461538461,0.15384615384615385,0
686747,"La Sorsa, Joe","Pit",120,246,246,137,11.048,109,11.048,0.5447154471544715,0.45121951219512196,0.0040650406504065045
645444,"Herrera, Jose","Pit",109,19,19,8,11.078,11,11.078,1,0,0
489119,"Miley, Wade","Pit",158,885,885,617,11.261,268,11.261,0.8135593220338984,0.18418079096045198,0.0022598870056497176
657041,"Thomas, Lane","Pit",120,10,10,7,11.278,3,11.278,0.9,0.1,0
571912,"Maile, Luke","Pit",113,36,36,20,11.358,16,11.358,1,0,0
671106,"Allen, Logan","Pit",114,944,944,601,11.516,343,11.516,0.6684322033898306,0.3305084745762712,0.001059322033898305
681867,"Criswell, Cooper","Pit",139,250,250,155,11.531,95,11.531,0.684,0.316,0
681987,"Eaton, Nate","Pit",118,11,11,5,11.69,6,11.69,0.6363636363636364,0.36363636363636365,0
665665,"Sanmartin, Reiver","Pit",113,142,142,77,11.705,65,11.705,0.4647887323943662,0.528169014084507,0.007042253521126761
543510,"McCann, James","Pit",110,8,8,4,11.747,4,11.747,0.875,0.125,0
665019,"Clemens, Kody","Pit",143,22,22,7,11.806,15,11.806,1,0,0
608718,"Suter, Brent","Pit",115,512,512,317,11.923,195,11.923,0.59765625,0.3984375,0.00390625
